BHK,Rent,Size,Bathroom,Cluster,City,Area Type
3.0,40000.0,1500.0,2.0,1,Kolkata,Super Area
2.0,12500.0,950.0,2.0,1,Kolkata,Super Area
2.0,5500.0,500.0,1.0,1,Kolkata,Super Area
1.0,5000.0,450.0,1.0,2,Kolkata,Carpet Area
2.0,6500.0,700.0,1.0,1,Kolkata,Super Area
1.0,8000.0,500.0,1.0,1,Kolkata,Super Area
3.0,14500.0,1800.0,2.0,1,Kolkata,Super Area
1.0,8200.0,500.0,1.0,2,Kolkata,Carpet Area
2.0,15000.0,479.99999999999994,2.0,2,Kolkata,Carpet Area
4.5,20000.0,1000.0,2.0,1,Kolkata,Super Area
2.0,6700.0,800.0,1.0,1,Kolkata,Super Area
1.0,10000.0,435.0,1.0,1,Kolkata,Super Area
2.0,7000.0,700.0,2.0,2,Kolkata,Carpet Area
2.0,22000.0,800.0,1.0,1,Kolkata,Super Area
2.0,6500.0,450.0,1.0,1,Kolkata,Super Area
2.0,8499.999999999998,550.0,1.0,2,Kolkata,Carpet Area
2.0,18000.0,800.0,2.0,2,Kolkata,Carpet Area
2.0,12000.0,550.0,2.0,2,Kolkata,Carpet Area
1.0,9000.0,600.0,1.0,1,Kolkata,Super Area
1.0,6000.0,500.0,1.0,1,Kolkata,Super Area
2.0,20000.0,1000.0,2.0,1,Kolkata,Super Area
1.0,5000.0,300.0,1.0,2,Kolkata,Carpet Area
2.0,12000.0,1200.0,2.0,1,Kolkata,Super Area
2.0,10000.0,500.0,1.0,2,Kolkata,Carpet Area
4.0,18000.0,1200.0,2.0,1,Kolkata,Super Area
2.0,15000.0,900.0,2.0,2,Kolkata,Carpet Area
3.0,22000.0,1300.0,3.0000000000000004,2,Kolkata,Carpet Area
4.0,35000.0,1600.0,3.0000000000000004,2,Kolkata,Carpet Area
3.0,21000.0,1450.0,2.0,1,Kolkata,Super Area
2.0,25000.0,1100.0,2.0,1,Kolkata,Super Area
2.0,67500.0,950.0,2.0,2,Kolkata,Carpet Area
1.0,6000.0,600.0,1.0,2,Kolkata,Carpet Area
2.0,14000.0,700.0,2.0,2,Kolkata,Carpet Area
3.0,8000.0,750.0,1.0,1,Kolkata,Super Area
2.0,8000.0,1000.0,1.0,1,Kolkata,Super Area
1.0,6000.0,220.0,1.0,1,Kolkata,Super Area
1.0,8000.0,300.0,1.0,2,Kolkata,Carpet Area
1.0,6000.0,300.0,1.0,2,Kolkata,Carpet Area
1.0,20000.0,700.0,1.0,1,Kolkata,Super Area
3.0,12000.0,800.0,2.0,1,Kolkata,Super Area
3.0,15000.0,1600.0,2.0,1,Kolkata,Super Area
2.0,14000.0,1000.0,2.0,2,Kolkata,Carpet Area
1.0,5000.0,20.0,1.0,1,Kolkata,Super Area
2.0,7000.0,400.0,1.0,2,Kolkata,Carpet Area
1.0,3900.0,200.0,1.0,1,Kolkata,Super Area
3.0,14000.0,840.0,2.0,2,Kolkata,Carpet Area
1.0,6300.0,300.0,1.0,2,Kolkata,Carpet Area
2.0,13000.0,550.0,2.0,2,Kolkata,Carpet Area
1.0,6800.0,300.0,1.0,2,Kolkata,Carpet Area
2.0,8000.0,800.0,2.0,1,Kolkata,Super Area
2.0,10000.0,740.0,1.0,2,Kolkata,Carpet Area
2.0,18000.0,1300.0,2.0,1,Kolkata,Super Area
2.0,8000.0,650.0,1.0,1,Kolkata,Super Area
2.0,8000.0,490.0,1.0,1,Kolkata,Super Area
1.0,4700.0,250.0,1.0,1,Kolkata,Super Area
1.0,4700.0,250.0,1.0,1,Kolkata,Super Area
1.0,4500.0,450.0,1.0,1,Kolkata,Super Area
1.0,6000.0,300.0,1.0,2,Kolkata,Carpet Area
2.0,16000.0,750.0,2.0,1,Kolkata,Super Area
1.0,4700.0,250.0,1.0,1,Kolkata,Super Area
2.0,14000.0,751.0,1.0,2,Kolkata,Carpet Area
2.0,9000.0,900.0,1.0,2,Kolkata,Carpet Area
2.0,5000.0,400.0,1.0,2,Kolkata,Carpet Area
2.0,17500.0,1000.0,2.0,2,Kolkata,Carpet Area
2.0,8499.999999999998,1000.0,1.0,2,Kolkata,Carpet Area
3.0,15000.0,1500.0,2.0,2,Kolkata,Carpet Area
2.0,12500.0,750.0,2.0,2,Kolkata,Carpet Area
1.0,13000.0,1200.0,1.0,1,Kolkata,Super Area
2.0,8000.0,700.0,1.0,1,Kolkata,Super Area
2.0,8000.0,700.0,1.0,2,Kolkata,Carpet Area
2.0,8000.0,1000.0,1.0,1,Kolkata,Super Area
2.0,7000.0,1200.0,2.0,1,Kolkata,Super Area
2.0,2200.0,550.0,1.0,1,Kolkata,Super Area
2.0,8000.0,800.0,1.0,2,Kolkata,Carpet Area
2.0,5500.0,280.0,1.0,1,Kolkata,Super Area
3.0,20000.0,1100.0,3.0000000000000004,1,Kolkata,Super Area
2.0,7000.0,950.0,1.0,1,Kolkata,Super Area
1.0,3500.0000000000005,250.0,1.0,1,Kolkata,Super Area
2.0,5000.0,1000.0,1.0,2,Kolkata,Carpet Area
3.0,20000.0,1000.0,2.0,2,Kolkata,Carpet Area
2.0,7000.0,650.0,1.0,1,Kolkata,Super Area
2.0,10000.0,700.0,2.0,1,Kolkata,Super Area
2.0,7000.0,700.0,1.0,2,Kolkata,Carpet Area
3.0,12000.0,1000.0,2.0,1,Kolkata,Super Area
2.0,14500.0,900.0,2.0,2,Kolkata,Carpet Area
1.0,6000.0,700.0,1.0,1,Kolkata,Super Area
2.0,9500.0,700.0,2.0,1,Kolkata,Super Area
2.0,10000.0,450.0,2.0,2,Kolkata,Carpet Area
1.0,3500.0000000000005,119.99999999999999,1.0,1,Kolkata,Super Area
2.0,9000.0,800.0,2.0,1,Kolkata,Super Area
3.0,40000.0,1219.9999999999998,2.0,2,Kolkata,Carpet Area
3.0,16500.0,1100.0,1.0,1,Kolkata,Super Area
3.0,8000.0,700.0,2.0,2,Kolkata,Carpet Area
2.0,12000.0,800.0,1.0,1,Kolkata,Super Area
2.0,6500.0,670.0000000000001,1.0,1,Kolkata,Super Area
4.0,40000.0,1300.0,3.0000000000000004,1,Kolkata,Super Area
1.0,5000.0,190.0,1.0,1,Kolkata,Super Area
2.0,9000.0,700.0,1.0,1,Kolkata,Super Area
1.0,7000.0,239.99999999999997,1.0,2,Kolkata,Carpet Area
2.0,18000.0,850.0,1.0,2,Kolkata,Carpet Area
1.0,9000.0,950.0,2.0,1,Kolkata,Super Area
1.0,5500.0,450.0,1.0,2,Kolkata,Carpet Area
2.0,7500.0,800.0,1.0,2,Kolkata,Carpet Area
2.0,4000.0000000000005,600.0,1.0,2,Kolkata,Carpet Area
3.0,10500.0,800.0,2.0,2,Kolkata,Carpet Area
3.0,15000.0,1100.0,2.0,2,Kolkata,Carpet Area
2.0,15000.0,800.0,1.0,2,Kolkata,Carpet Area
1.0,50000.0,2175.0,3.0000000000000004,1,Kolkata,Super Area
2.0,12000.0,950.0,2.0,2,Kolkata,Carpet Area
2.0,11000.0,550.0,1.0,2,Kolkata,Carpet Area
2.0,12000.0,1800.0,2.0,2,Kolkata,Carpet Area
2.0,8000.0,1000.0,1.0,1,Kolkata,Super Area
2.0,18000.0,600.0,2.0,1,Kolkata,Super Area
2.0,8000.0,750.0,2.0,2,Kolkata,Carpet Area
2.0,7000.0,685.0,1.0,1,Kolkata,Super Area
1.0,6500.0,43.99999999999999,1.0,2,Kolkata,Carpet Area
4.0,13000.0,1200.0,1.0,2,Kolkata,Carpet Area
2.0,9000.0,500.0,1.0,2,Kolkata,Carpet Area
4.0,10000.0,1110.0,2.0,2,Kolkata,Carpet Area
2.0,12000.0,1000.0,2.0,1,Kolkata,Super Area
2.0,5000.0,392.0,1.0,1,Kolkata,Super Area
2.0,6000.0,700.0,1.0,1,Kolkata,Super Area
1.0,5200.0,750.0,1.0,1,Kolkata,Super Area
3.0,15000.0,1500.0,2.0,1,Kolkata,Super Area
2.0,9000.0,900.0,2.0,1,Kolkata,Super Area
1.0,24000.0,710.0,1.0,1,Kolkata,Super Area
1.0,5500.0,400.0,1.0,2,Kolkata,Carpet Area
1.0,10000.0,700.0,1.0,2,Kolkata,Carpet Area
2.0,15000.0,1000.0,1.0,2,Kolkata,Carpet Area
1.0,4700.0,250.0,1.0,1,Kolkata,Super Area
1.0,5000.0,500.0,1.0,2,Kolkata,Carpet Area
2.0,5000.0,450.0,1.0,2,Kolkata,Carpet Area
3.0,15000.0,1400.0,1.0,1,Kolkata,Super Area
1.0,5000.0,500.0,1.0,2,Kolkata,Carpet Area
2.0,6000.0,700.0,1.0,2,Kolkata,Carpet Area
3.0,18000.0,1200.0,1.0,2,Kolkata,Carpet Area
2.0,8000.0,450.0,1.0,2,Kolkata,Carpet Area
1.0,13000.0,500.0,1.0,2,Kolkata,Carpet Area
2.0,7500.0,400.0,1.0,2,Kolkata,Carpet Area
3.0,12000.0,1000.0,2.0,1,Kolkata,Super Area
2.0,11000.0,750.0,1.0,2,Kolkata,Carpet Area
1.0,6000.0,450.0,1.0,1,Kolkata,Super Area
3.0,20000.0,1000.0,2.0,2,Kolkata,Carpet Area
2.0,7000.0,500.0,2.0,2,Kolkata,Carpet Area
4.0,30000.0,1600.0,2.0,2,Kolkata,Carpet Area
2.0,7500.0,550.0,1.0,2,Kolkata,Carpet Area
1.0,6500.0,550.0,2.0,1,Kolkata,Super Area
1.0,3000.0,200.0,1.0,1,Kolkata,Super Area
2.0,5200.0,650.0,1.0,2,Kolkata,Carpet Area
2.0,25000.0,1000.0,2.0,1,Kolkata,Super Area
2.0,12500.0,680.0,2.0,2,Kolkata,Carpet Area
2.0,8499.999999999998,720.0,2.0,2,Kolkata,Carpet Area
2.0,3500.0000000000005,500.0,1.0,2,Kolkata,Carpet Area
2.0,7000.0,800.0,1.0,1,Kolkata,Super Area
1.0,3000.0,160.0,1.0,1,Kolkata,Super Area
2.0,14000.0,1200.0,2.0,2,Kolkata,Carpet Area
1.0,18000.0,700.0,1.0,1,Kolkata,Super Area
1.0,3500.0000000000005,1000.0,1.0,1,Kolkata,Super Area
2.0,16000.0,1250.0,2.0,1,Kolkata,Super Area
4.0,35000.0,1600.0,3.0000000000000004,1,Kolkata,Super Area
2.0,21000.0,700.0,1.0,1,Kolkata,Super Area
1.0,4500.0,450.0,1.0,1,Kolkata,Super Area
2.0,15000.0,839.0,2.0,1,Kolkata,Super Area
1.0,4500.0,230.0,1.0,1,Kolkata,Super Area
1.0,5500.0,1800.0,1.0,1,Kolkata,Super Area
2.0,8499.999999999998,800.0,2.0,1,Kolkata,Super Area
1.0,5000.0,500.0,1.0,2,Kolkata,Carpet Area
2.0,8499.999999999998,620.0,1.0,2,Kolkata,Carpet Area
2.0,9000.0,650.0,1.0,2,Kolkata,Carpet Area
1.0,7500.0,550.0,1.0,1,Kolkata,Super Area
2.0,7000.0,450.0,2.0,2,Kolkata,Carpet Area
3.0,15000.0,1350.0,2.0,2,Kolkata,Carpet Area
2.0,7000.0,600.0,2.0,1,Kolkata,Super Area
3.0,10000.0,1200.0,1.0,1,Kolkata,Super Area
2.0,7000.0,700.0,1.0,1,Kolkata,Super Area
3.0,3200.0,800.0,2.0,2,Kolkata,Carpet Area
2.0,6000.0,600.0,1.0,2,Kolkata,Carpet Area
2.0,12000.0,900.0,2.0,1,Kolkata,Super Area
2.0,6000.0,750.0,1.0,1,Kolkata,Super Area
3.0,10000.0,1250.0,2.0,1,Kolkata,Super Area
3.0,12000.0,1000.0,3.0000000000000004,1,Kolkata,Super Area
2.0,8000.0,600.0,1.0,1,Kolkata,Super Area
2.0,5300.0,650.0,1.0,2,Kolkata,Carpet Area
2.0,5000.0,450.0,1.0,2,Kolkata,Carpet Area
3.0,8499.999999999998,800.0,2.0,1,Kolkata,Super Area
3.0,22000.0,1000.0,2.0,2,Kolkata,Carpet Area
2.0,7000.0,1000.0,1.0,1,Kolkata,Super Area
3.0,25000.0,1400.0,3.0000000000000004,2,Kolkata,Carpet Area
2.0,7000.0,600.0,1.0,2,Kolkata,Carpet Area
2.0,15000.0,723.0,1.0,2,Kolkata,Carpet Area
1.0,6000.0,320.0,1.0,2,Kolkata,Carpet Area
2.0,8000.0,900.0,1.0,1,Kolkata,Super Area
3.0,40000.0,1400.0,2.0,2,Kolkata,Carpet Area
1.0,6000.0,2160.0,1.0,1,Kolkata,Super Area
2.0,15000.0,650.0,1.0,2,Kolkata,Carpet Area
2.0,6500.0,800.0,1.0,1,Kolkata,Super Area
3.0,8000.0,800.0,1.0,1,Kolkata,Super Area
1.0,5500.0,500.0,1.0,2,Kolkata,Carpet Area
3.0,9000.0,1700.0,2.0,1,Kolkata,Super Area
1.0,6000.0,130.0,1.0,2,Kolkata,Carpet Area
1.0,15000.0,505.0,1.0,1,Kolkata,Super Area
4.0,30000.0,2175.0,3.0000000000000004,1,Kolkata,Super Area
3.0,30000.0,1250.0,2.0,1,Kolkata,Super Area
1.0,5000.0,700.0,1.0,2,Kolkata,Carpet Area
2.0,15000.0,900.0,1.0,1,Kolkata,Super Area
1.0,6500.0,650.0,1.0,1,Kolkata,Super Area
2.0,4500.0,750.0,1.0,1,Kolkata,Super Area
2.0,7000.0,450.0,1.0,2,Kolkata,Carpet Area
1.0,6500.0,350.0,1.0,2,Kolkata,Carpet Area
1.0,17500.0,479.99999999999994,2.0,2,Kolkata,Carpet Area
2.0,10000.0,900.0,1.0,1,Kolkata,Super Area
1.0,1500.0,200.0,1.0,1,Kolkata,Super Area
3.0,25000.0,1100.0,3.0000000000000004,1,Kolkata,Super Area
2.0,12000.0,800.0,1.0,2,Kolkata,Carpet Area
3.0,7500.0,1000.0,2.0,2,Kolkata,Carpet Area
1.0,7000.0,800.0,1.0,2,Kolkata,Carpet Area
1.0,3500.0000000000005,200.0,1.0,1,Kolkata,Super Area
3.0,10000.0,1190.0,2.0,2,Kolkata,Carpet Area
2.0,14000.0,900.0,2.0,2,Kolkata,Carpet Area
2.0,15000.0,1500.0,2.0,1,Kolkata,Super Area
2.0,6500.0,600.0,1.0,1,Kolkata,Super Area
3.0,10000.0,800.0,1.0,1,Kolkata,Super Area
2.0,10500.0,800.0,2.0,2,Kolkata,Carpet Area
3.0,10000.0,900.0,2.0,2,Kolkata,Carpet Area
1.0,5000.0,350.0,1.0,2,Kolkata,Carpet Area
2.0,9000.0,800.0,1.0,2,Kolkata,Carpet Area
2.0,20000.0,1600.0,2.0,2,Kolkata,Carpet Area
3.0,35000.0,1012.0,2.0,2,Kolkata,Carpet Area
3.0,15000.0,1200.0,2.0,2,Kolkata,Carpet Area
2.0,20000.0,700.0,1.0,1,Kolkata,Super Area
2.0,12000.0,1000.0,1.0,1,Kolkata,Super Area
2.0,8000.0,800.0,1.0,2,Kolkata,Carpet Area
1.0,3000.0,500.0,1.0,1,Kolkata,Super Area
3.0,20000.0,1200.0,2.0,2,Kolkata,Carpet Area
1.0,9000.0,450.0,1.0,2,Kolkata,Carpet Area
3.0,13000.0,950.0,2.0,2,Kolkata,Carpet Area
1.0,7000.0,350.0,1.0,2,Kolkata,Carpet Area
1.0,9000.0,450.0,1.0,2,Kolkata,Carpet Area
1.0,9000.0,550.0,1.0,2,Kolkata,Carpet Area
2.0,10000.0,300.0,1.0,2,Kolkata,Carpet Area
3.0,15000.0,1250.0,2.0,1,Kolkata,Super Area
2.0,7000.0,700.0,1.0,1,Kolkata,Super Area
3.0,8000.0,812.0,2.0,1,Kolkata,Super Area
2.0,8000.0,550.0,1.0,1,Kolkata,Super Area
1.0,5000.0,500.0,1.0,1,Kolkata,Super Area
1.0,14000.0,320.0,1.0,2,Kolkata,Carpet Area
2.0,5000.0,600.0,1.0,1,Kolkata,Super Area
2.0,5000.0,420.0,1.0,2,Kolkata,Carpet Area
3.0,12000.0,1100.0,1.0,1,Kolkata,Super Area
1.0,3200.0,220.0,1.0,1,Kolkata,Super Area
2.0,8499.999999999998,700.0,2.0,2,Kolkata,Carpet Area
3.0,16000.0,1200.0,2.0,2,Kolkata,Carpet Area
2.0,14000.0,800.0,2.0,2,Kolkata,Carpet Area
1.0,8000.0,300.0,1.0,2,Kolkata,Carpet Area
2.0,7000.0,650.0,1.0,2,Kolkata,Carpet Area
1.0,8000.0,600.0,1.0,1,Kolkata,Super Area
1.0,3000.0,350.0,1.0,1,Kolkata,Super Area
1.0,3800.0000000000005,500.0,1.0,2,Kolkata,Carpet Area
1.0,6500.0,400.0,1.0,1,Kolkata,Super Area
3.0,20000.0,1750.0,3.0000000000000004,1,Kolkata,Super Area
3.0,30000.0,1600.0,2.0,1,Kolkata,Super Area
1.0,8000.0,300.0,1.0,2,Kolkata,Carpet Area
2.0,14000.0,1100.0,2.0,1,Kolkata,Super Area
2.0,7200.0,830.0,1.0,1,Kolkata,Super Area
2.0,7000.0,600.0,2.0,2,Kolkata,Carpet Area
1.0,7000.0,500.0,2.0,1,Kolkata,Super Area
2.0,7500.0,900.0,1.0,2,Kolkata,Carpet Area
2.0,8499.999999999998,1250.0,2.0,2,Kolkata,Carpet Area
2.0,12000.0,700.0,1.0,2,Kolkata,Carpet Area
1.0,8499.999999999998,850.0,2.0,2,Kolkata,Carpet Area
2.0,9500.0,550.0,1.0,2,Kolkata,Carpet Area
2.0,7500.0,550.0,2.0,2,Kolkata,Carpet Area
2.0,12000.0,1200.0,1.0,1,Kolkata,Super Area
3.0,20000.0,1100.0,2.0,2,Kolkata,Carpet Area
2.0,8499.999999999998,650.0,1.0,1,Kolkata,Super Area
3.0,20000.0,1050.0,2.0,2,Kolkata,Carpet Area
2.0,6000.0,959.9999999999999,2.0,1,Kolkata,Super Area
2.0,5500.0,650.0,2.0,2,Kolkata,Carpet Area
1.0,7000.0,550.0,1.0,1,Kolkata,Super Area
2.0,7000.0,500.0,2.0,1,Kolkata,Super Area
1.0,6500.0,450.0,1.0,1,Kolkata,Super Area
2.0,10000.0,850.0,2.0,1,Kolkata,Super Area
1.0,5200.0,300.0,1.0,2,Kolkata,Carpet Area
2.0,13000.0,1000.0,3.0000000000000004,2,Kolkata,Carpet Area
2.0,7000.0,500.0,1.0,2,Kolkata,Carpet Area
2.0,12000.0,756.0,1.0,2,Kolkata,Carpet Area
1.0,15000.0,1000.0,1.0,1,Kolkata,Super Area
1.0,5000.0,150.0,1.0,2,Kolkata,Carpet Area
1.0,8000.0,800.0,1.0,2,Kolkata,Carpet Area
2.0,8000.0,700.0,2.0,1,Kolkata,Super Area
1.0,5000.0,420.0,1.0,1,Kolkata,Super Area
2.0,10000.0,800.0,1.0,1,Kolkata,Super Area
2.0,12000.0,288.00000000000006,1.0,2,Kolkata,Carpet Area
2.0,8000.0,900.0,2.0,1,Kolkata,Super Area
2.0,21000.0,850.0,2.0,2,Kolkata,Carpet Area
1.0,5000.0,350.0,1.0,2,Kolkata,Carpet Area
2.0,9000.0,600.0,1.0,1,Kolkata,Super Area
2.0,8000.0,1600.0,1.0,2,Kolkata,Carpet Area
2.0,7000.0,986.0,1.0,2,Kolkata,Carpet Area
3.0,35000.0,1330.0,2.0,2,Kolkata,Carpet Area
3.0,15000.0,1300.0,2.0,1,Kolkata,Super Area
2.0,6200.0,800.0,1.0,2,Kolkata,Carpet Area
2.0,9900.0,800.0,1.0,2,Kolkata,Carpet Area
2.0,7000.0,850.0,1.0,1,Kolkata,Super Area
1.0,5000.0,322.0,1.0,2,Kolkata,Carpet Area
2.0,6500.0,800.0,1.0,2,Kolkata,Carpet Area
4.0,40000.0,1500.0,2.0,2,Kolkata,Carpet Area
3.0,40000.0,2175.0,2.0,1,Kolkata,Super Area
2.0,12000.0,957.0,2.0,2,Kolkata,Carpet Area
1.0,6500.0,850.0,1.0,2,Kolkata,Carpet Area
2.0,10000.0,900.0,2.0,2,Kolkata,Carpet Area
2.0,15000.0,600.0,1.0,1,Kolkata,Super Area
1.0,5000.0,350.0,1.0,2,Kolkata,Carpet Area
2.0,7000.0,800.0,1.0,1,Kolkata,Super Area
2.0,6000.0,320.0,1.0,2,Kolkata,Carpet Area
3.0,15000.0,800.0,1.0,2,Kolkata,Carpet Area
2.0,10000.0,700.0,2.0,2,Kolkata,Carpet Area
2.0,22000.0,1200.0,2.0,1,Kolkata,Super Area
2.0,8499.999999999998,750.0,1.0,2,Kolkata,Carpet Area
3.0,35000.0,1200.0,3.0000000000000004,1,Kolkata,Super Area
2.0,7000.0,450.0,1.0,2,Kolkata,Carpet Area
3.0,8499.999999999998,1430.0,1.0,1,Kolkata,Super Area
2.0,6000.0,450.0,1.0,1,Kolkata,Super Area
4.0,35000.0,800.0,3.0000000000000004,1,Kolkata,Super Area
1.0,6000.0,400.0,1.0,1,Kolkata,Super Area
2.0,8000.0,650.0,1.0,1,Kolkata,Super Area
1.0,5000.0,450.0,1.0,2,Kolkata,Carpet Area
2.0,6000.0,600.0,1.0,1,Kolkata,Super Area
3.0,15000.0,1200.0,2.0,2,Kolkata,Carpet Area
2.0,9000.0,700.0,1.0,2,Kolkata,Carpet Area
1.0,5000.0,300.0,1.0,2,Kolkata,Carpet Area
3.0,8000.0,1200.0,3.0000000000000004,1,Kolkata,Super Area
3.0,35000.0,1300.0,2.0,2,Kolkata,Carpet Area
1.0,5500.0,400.0,1.0,1,Kolkata,Super Area
3.0,35000.0,1320.0,2.0,2,Kolkata,Carpet Area
2.0,11000.0,1000.0,2.0,1,Kolkata,Super Area
2.0,10000.0,700.0,1.0,2,Kolkata,Carpet Area
2.0,6500.0,800.0,2.0,2,Kolkata,Carpet Area
2.0,6000.0,900.0,1.0,1,Kolkata,Super Area
3.0,36125.0,1700.0,2.0,1,Kolkata,Super Area
2.0,6800.0,600.0,1.0,2,Kolkata,Carpet Area
2.0,8499.999999999998,850.0,2.0,2,Kolkata,Carpet Area
2.0,5000.0,550.0,1.0,2,Kolkata,Carpet Area
1.0,6500.0,650.0,1.0,2,Kolkata,Carpet Area
1.0,6500.0,800.0,1.0,2,Kolkata,Carpet Area
2.0,4500.0,475.0,1.0,1,Kolkata,Super Area
1.0,6000.0,200.0,1.0,2,Kolkata,Carpet Area
1.0,10000.0,400.0,1.0,2,Kolkata,Carpet Area
1.0,12000.0,500.0,1.0,1,Kolkata,Super Area
2.0,12000.0,550.0,1.0,2,Kolkata,Carpet Area
2.0,12000.0,800.0,1.0,1,Kolkata,Super Area
2.0,9000.0,1000.0,2.0,1,Kolkata,Super Area
1.0,5000.0,400.0,1.0,2,Kolkata,Carpet Area
1.0,6000.0,300.0,1.0,2,Kolkata,Carpet Area
2.0,5500.0,450.0,1.0,2,Kolkata,Carpet Area
2.0,5500.0,450.0,1.0,2,Kolkata,Carpet Area
2.0,8499.999999999998,1100.0,2.0,2,Kolkata,Carpet Area
1.0,5000.0,450.0,1.0,1,Kolkata,Super Area
2.0,23000.0,1100.0,2.0,2,Kolkata,Carpet Area
2.0,5500.0,650.0,1.0,2,Kolkata,Carpet Area
2.0,8499.999999999998,780.0,1.0,2,Kolkata,Carpet Area
3.0,22000.0,1100.0,2.0,1,Kolkata,Super Area
1.0,5500.0,800.0,1.0,1,Kolkata,Super Area
1.0,7000.0,500.0,2.0,1,Kolkata,Super Area
